complaint_text,category,subcategory,department
ESI contributions are being deducted but I'm unable to avail medical benefits. I have been working as a content writer for 15 years. The company is profitable yet refuses to pay fair wages.,Wage Issues,Unauthorized deductions,Ministry of Labour and Employment - Wage Division
My health insurance claim was rejected without proper explanation. This is happening in our Ludhiana branch/office/factory. I am a fresh graduate in my first job.,Social Security Concerns,NPS contribution problems,Pension Fund Regulatory and Development Authority
I was mocked and excluded because I don't speak the local language fluently. I have been working as a forklift operator for 2 years. I was directly told that people 'like me' don't get promoted here.,Discrimination,Marital status discrimination,Ministry of Labour and Employment - Industrial Relations Division
"Despite having better qualifications, I was passed over for promotion due to my weight. This is happening in our Ranchi branch/office/factory. I am a fresh graduate in my first job.",Discrimination,Age discrimination,Ministry of Labour and Employment - Industrial Relations Division
"During COVID-19 lockdown, we were abandoned without any support. I work at Savannah Agriculture in the textile industry. This is happening in our Gwalior branch/office/factory.",Migrant Worker Issues,Return transportation denial,Ministry of Labour and Employment - Inter-State Migrant Workers Division
"My employer imposed a fine of 17,500 rupees for not attending optional team events which seems excessive and illegal. I work at Mountain Mining in the education industry. I have been working as a graphic designer for 12 years. This is happening in our Visakhapatnam branch/office/factory.",Wage Issues,Bonus payment issues,Ministry of Labour and Employment - Wage Division
I haven't been able to bring my family due to lack of family accommodation provisions. I am a woman working in a male-dominated field.,Migrant Worker Issues,Medical care access,Ministry of Health and Family Welfare
I face discrimination because I don't speak the local language fluently. I work at Moonlight Entertainment in the oil and gas industry. I have been working as a warehouse manager for 1.5 years. This is happening in our Kolkata branch/office/factory. Our cultural and dietary needs are ignored creating difficulties.,Migrant Worker Issues,Medical care access,Ministry of Health and Family Welfare
The noise levels in our factory exceed safe limits and no ear protection is provided. I work at Goodlife Healthcare in the real estate industry. I have been working as a warehouse manager for 2 years. This is happening in our Agra branch/office/factory.,Unsafe Working Conditions,Radiation exposure,Atomic Energy Regulatory Board
"Despite having better qualifications, I was passed over for promotion due to my age. I have witnessed similar treatment of others from my community.",Discrimination,Gender discrimination,National Commission for Women
"As a north-eastern employee, I face stereotyping and prejudice from colleagues. I work at Arctic Cold Storage in the media industry. I have been working as a medical representative for 25 years. This is happening in our Ludhiana branch/office/factory.",Discrimination,Pregnancy discrimination,National Commission for Women
"Despite working on national holidays, I haven't received double wages as per law. I work at Skyrise Builders in the textile industry. I have been working as a software developer for 9 years. I belong to a scheduled caste community.",Wage Issues,Gratuity payment problems,Ministry of Labour and Employment - Wage Division
I was denied promotion because of my gender despite having better performance records. I have been working as a network administrator for 6 years. This is happening in our Guwahati branch/office/factory. I am a migrant worker from a different state.,Discrimination,Language discrimination,Ministry of Labour and Employment - Industrial Relations Division
My employer has been delaying the variable pay component for 120 days. I work at Skyrise Builders in the insurance industry. I have been working as a branch manager for 10 years. This is happening in our Delhi branch/office/factory. I am supporting my siblings' education with my income.,Wage Issues,Minimum Wages Act violations,Ministry of Labour and Employment - Wage Division
"As a contract worker, I don't receive any social security benefits. I work at Skyrise Builders in the insurance industry.",Social Security Concerns,ESIC benefit denial,Employees State Insurance Corporation
The company has not paid the annual bonus as required by law. I work at Westland Automobiles in the healthcare industry. This is happening in our Bhopal branch/office/factory. Other companies in the same area pay much better for similar work.,Wage Issues,Delayed salary payments,Ministry of Labour and Employment - Wage Division
The company doesn't provide any written contract to employees. I work at Metro Textiles in the insurance industry.,Labor Rights Violations,Collective bargaining issues,Ministry of Labour and Employment - Industrial Relations Division
My manager constantly criticizes me in front of others affecting my mental health. I work at Desert Oil Exploration in the shipping industry. I have been working as a supervisor for 5 years. I belong to a scheduled caste community.,Workplace Harassment,Hostile work environment,Ministry of Labour and Employment - Industrial Relations Division
The hospital refused to accept my ESIC card for treatment. I work at CloudNine IT Solutions in the education industry. I have been working as a security guard for 1.5 years. The delay in benefits has affected my post-retirement planning.,Social Security Concerns,Accident compensation issues,Employees State Insurance Corporation
I'm charged excessive rent knowing I have limited housing options as a migrant. I work at Westland Automobiles in the media industry. I recently relocated to this city for this job.,Migrant Worker Issues,Language barrier discrimination,Ministry of Labour and Employment - Inter-State Migrant Workers Division
There is no access to clean drinking water in our factory premises. I work at Pride Construction in the textile industry. This is happening in our Pune branch/office/factory.,Unsafe Working Conditions,Improper lighting,Directorate General of Factory Advice Service and Labour Institutes
I haven't received the displacement allowance mentioned in the Inter-State Migrant Workmen Act. I work at Canyon Minerals in the banking industry. I have been working as a production manager for 5 years. I have specialized skills in my field but face exploitation. We were recruited through agents who made false promises.,Migrant Worker Issues,Remittance challenges,Ministry of Finance
Chemical spills are common and no cleanup protocols are followed. I work at CloudNine IT Solutions in the banking industry. I have been working as a procurement officer for 7 years. This is happening in our Ludhiana branch/office/factory. Safety equipment exists but workers are discouraged from using it.,Unsafe Working Conditions,No emergency protocols,Directorate General of Factory Advice Service and Labour Institutes
Local authorities have issues verifying my identity as my documents are in my native language. I work at Bluestar Chemicals in the media industry. I have been working as a supervisor for 1.5 years. This is happening in our Ahmedabad branch/office/factory. I am a fresh graduate in my first job.,Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
"After informing about my pregnancy, I was removed from important projects. I work at Sunrise Industries in the oil and gas industry.",Discrimination,Gender discrimination,National Commission for Women
"Workers are not provided with safety helmets, gloves or boots in our factory. I am supporting my elderly parents with my income.",Unsafe Working Conditions,Radiation exposure,Atomic Energy Regulatory Board
My medical reimbursement has been pending for 2 months despite submitting all documents. This is happening in our Dehradun branch/office/factory. Different departments keep redirecting me without solutions.,Social Security Concerns,Insurance claim rejection,Insurance Regulatory and Development Authority
The hospital refused to accept my ESIC card for treatment. I work at Tropical Beverages in the mining industry. I have been working as a graphic designer for 25 years. I am a single parent supporting two children.,Social Security Concerns,ESIC benefit denial,Directorate General of Factory Advice Service and Labour Institutes
"As an LGBTQ+ individual, I face daily harassment and isolation at work.",Discrimination,Caste-based discrimination,National Commission for Scheduled Castes/Tribes
"After project completion, the company refused to arrange transportation back to our home state. I work at Tropical Beverages in the manufacturing industry. I have been working as a regional sales manager for 6 years.",Migrant Worker Issues,Language barrier discrimination,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I'm an apprentice but I'm performing regular employee duties without benefits. I work at Savannah Agriculture in the construction industry. This is happening in our Agra branch/office/factory.,Labor Rights Violations,Contract labor issues,Ministry of Labour and Employment - Industrial Relations Division
Managers check our bags and personal belongings without consent everyday. This is happening in our Kochi branch/office/factory. I recently relocated to this city for this job.,Workplace Harassment,Public humiliation,Ministry of Labour and Employment - Industrial Relations Division
Local police harass us migrant workers during identity checks. This is happening in our Varanasi branch/office/factory. Essential information is not provided in languages we understand.,Migrant Worker Issues,Local authority harassment,Ministry of Home Affairs
The lighting is so poor that it's causing eye strain and accidents. I work at IronStrength Steel in the automotive industry. This is happening in our Visakhapatnam branch/office/factory. Mandatory safety training is rushed and inadequate.,Unsafe Working Conditions,Excessive work hours,Ministry of Labour and Employment - Industrial Relations Division
Electrical wiring is exposed and has caused several shock incidents. I have been working as a carpenter for 10 years.,Unsafe Working Conditions,Noise pollution,State Pollution Control Board
My ESIC hospital referred me to a private hospital but refused reimbursement. I have been working as a receptionist for 2 years. This is happening in our Thiruvananthapuram branch/office/factory. I switched careers recently and face discrimination due to it.,Social Security Concerns,Insurance claim rejection,Insurance Regulatory and Development Authority
"We are exposed to harmful chemicals without proper protection equipment. I work at Savannah Agriculture in the retail industry. When inspections occur, the company temporarily improves conditions.",Unsafe Working Conditions,Machine safety concerns,Directorate General of Factory Advice Service and Labour Institutes
We are exposed to harmful chemicals without proper protection equipment. I work at Sunshine Apparels in the healthcare industry. I have been working as a HR coordinator for 6 years. Management ignores safety concerns to maintain production schedules.,Unsafe Working Conditions,No access to clean water,Municipal Corporation Water Department
Local authorities have issues verifying my identity as my documents are in my native language. I have been working as a logistics coordinator for 1 years.,Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
We are forced to work in unnatural positions causing severe back problems.,Unsafe Working Conditions,Lack of safety equipment,Directorate General of Factory Advice Service and Labour Institutes
My supervisor has threatened to ruin my career if I don't comply with demands. The harasser is protected due to their relationship with senior management.,Workplace Harassment,Exclusion from meetings,Ministry of Labour and Employment - Industrial Relations Division
I haven't been able to bring my family due to lack of family accommodation provisions. I work at Oceanic Marine Products in the education industry. This is happening in our Madurai branch/office/factory. I am a senior citizen close to retirement. Our identity documents are held by the contractor/employer.,Migrant Worker Issues,Language barrier discrimination,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I was transferred to a remote location after filing a complaint. I work at Eastern Electronics in the telecommunications industry. I am a single parent supporting two children.,Labor Rights Violations,Denial of statutory holidays,Ministry of Labour and Employment - Industrial Relations Division
The company doesn't provide any written contract to employees. I work at Forest Wood Products in the agriculture industry. I have been working as a security guard for 6 years. This is happening in our Jodhpur branch/office/factory. My employment contract is different from actual working conditions.,Labor Rights Violations,Denial of maternity benefits,Ministry of Women and Child Development
I'm constantly interrupted and talked over in meetings by male colleagues. I work at Moonlight Entertainment in the banking industry. I have been working as a data entry operator for 9 years. This is happening in our Jodhpur branch/office/factory. I am from a rural background trying to establish myself in an urban job market. The harassment increased after I declined personal advances/requests.,Workplace Harassment,Public humiliation,Ministry of Labour and Employment - Industrial Relations Division
"The company calculated my gratuity based on basic pay only, not total emoluments. This is happening in our Raipur branch/office/factory. I am a migrant worker from a different state. My employer refuses to provide necessary certification for claims.",Social Security Concerns,Retirement benefit disputes,Employees Provident Fund Organisation
I'm forced to attend company events that conflict with my personal beliefs. I have been working as a project coordinator for 15 years. I am a senior citizen close to retirement.,Workplace Harassment,Cyberbullying at workplace,Cyber Crime Cell and Ministry of Labour
No translator is provided during important safety briefings. I work at Moonlight Entertainment in the oil and gas industry. I have been working as a team leader for 7 years. This is happening in our Chandigarh branch/office/factory. I am a migrant worker from a different state. We face restrictions on movement and communication with family.,Migrant Worker Issues,Inadequate housing,Ministry of Housing and Urban Affairs
No translator is provided during important safety briefings. This is happening in our Nagpur branch/office/factory.,Migrant Worker Issues,Language barrier discrimination,Ministry of Labour and Employment - Inter-State Migrant Workers Division
The company has provided incorrect details in my PF account making withdrawals impossible. I work at CopperTech Engineering in the retail industry. I have been working as a network administrator for 9 years. I have education loans to repay which makes this situation critical.,Social Security Concerns,Gratuity calculation disputes,Ministry of Labour and Employment - Industrial Relations Division
I haven't been able to bring my family due to lack of family accommodation provisions. I work at Alpine Adventures in the pharmaceutical industry. I have been working as a call center agent for 1 years. This is happening in our Indore branch/office/factory. I previously worked abroad but returned to India for family reasons. Essential information is not provided in languages we understand.,Migrant Worker Issues,Home state leave refusal,Ministry of Labour and Employment - Inter-State Migrant Workers Division
Co-workers have created offensive social media groups targeting me. I work at Eastern Electronics in the mining industry. This is happening in our Tiruchirappalli branch/office/factory.,Workplace Harassment,Threatening behavior,Local Police Station and Ministry of Labour
I've been working as a contractor for 5 years but haven't been regularized. I have been working as a marketing specialist for 5 years. This is happening in our Bangalore branch/office/factory. Documentation of work hours is manipulated to avoid overtime payment.,Labor Rights Violations,No service benefits,Ministry of Labour and Employment - Industrial Relations Division
"The company deducted 1,500 rupees from my salary without explanation. I work at Rainbow Plastics in the aviation industry. I have been working as a social media manager for 15 years.",Wage Issues,Incorrect salary calculation,Ministry of Labour and Employment - Wage Division
I've been waiting for my maternity benefit payment for 3 months. I work at CopperTech Engineering in the textile industry. I have been working as a procurement officer for 1.5 years.,Social Security Concerns,Pension payment delays,Employees Provident Fund Organisation
I haven't been able to bring my family due to lack of family accommodation provisions. I have been working as a call center agent for 3 years.,Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
"After a workplace injury, I was denied paid medical leave. I work at Pride Construction in the telecommunications industry. I have been working as a forklift operator for 9 years. The company is using outdated forms and processes for benefits.",Social Security Concerns,NPS contribution problems,Pension Fund Regulatory and Development Authority
"After a workplace injury, I was denied paid medical leave. The company is using outdated forms and processes for benefits.",Social Security Concerns,Unemployment allowance issues,Ministry of Labour and Employment - Social Security Division
I'm being paid in cash without any salary slip or documentation. I have been working as a maintenance technician for 7 years. This is happening in our Madurai branch/office/factory.,Wage Issues,Incorrect salary calculation,Ministry of Labour and Employment - Wage Division
I was told I'm too old for the position despite having all qualifications. I work at Westland Automobiles in the aviation industry.,Discrimination,Sexual harassment,Internal Complaints Committee/Local Complaints Committee
I was terminated for raising safety concerns about factory conditions. I work at Tropical Beverages in the insurance industry. This is happening in our Hyderabad branch/office/factory. I have been working in this industry for over a decade.,Labor Rights Violations,Denial of statutory holidays,Ministry of Labour and Employment - Industrial Relations Division
Electrical wiring is exposed and has caused several shock incidents. I work at Moonlight Entertainment in the education industry. The company prioritizes cost-cutting over worker safety.,Unsafe Working Conditions,No emergency protocols,Directorate General of Factory Advice Service and Labour Institutes
"Following my husband's death at work, the death benefit claim is still unprocessed. I work at Greenfield Agro in the retail industry. I have been working as a warehouse manager for 8 years. This is happening in our Gwalior branch/office/factory. The company is using outdated forms and processes for benefits.",Social Security Concerns,Insurance claim rejection,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I face discrimination because I support a different political party than management. I work at Desert Oil Exploration in the media industry. I have been working as a branch manager for 12 years. The discrimination is subtle but persistent in daily interactions.,Discrimination,Hiring bias,Ministry of Labour and Employment - Industrial Relations Division
We are exposed to harmful chemicals without proper protection equipment. I work at Volcano Cement in the pharmaceutical industry. This is happening in our Vijayawada branch/office/factory. I am working while pursuing higher education. Workers who report safety issues face retaliation.,Unsafe Working Conditions,Hazardous materials exposure,Directorate General of Factory Advice Service and Labour Institutes
I'm charged excessive rent knowing I have limited housing options as a migrant. I work at Sunshine Apparels in the agriculture industry. Our cultural and dietary needs are ignored creating difficulties.,Migrant Worker Issues,Local authority harassment,Ministry of Labour and Employment - Industrial Relations Division
"Despite working on national holidays, I haven't received double wages as per law. I work at Skyrise Builders in the aviation industry. I have been working as a accountant for 3 years.",Wage Issues,Equal pay for equal work violations,Ministry of Labour and Employment - Wage Division
I receive lower wages than local workers for the same job. I work at Metro Textiles in the education industry. I have been working as a supervisor for 4 years. This is happening in our Bhopal branch/office/factory. Our identity documents are held by the contractor/employer.,Migrant Worker Issues,Return transportation denial,Ministry of Labour and Employment - Inter-State Migrant Workers Division
My superior takes credit for my work and ideas regularly. I work at Westland Automobiles in the logistics industry. I have been working as a software developer for 5 years. There have been previous complaints against the same individual/group.,Workplace Harassment,Verbal abuse,Ministry of Labour and Employment - Industrial Relations Division
There is no access to clean drinking water in our factory premises. I work at Delta Logistics in the retail industry. This is happening in our Mumbai branch/office/factory. I belong to a scheduled caste community.,Unsafe Working Conditions,No access to clean water,Municipal Corporation Water Department
There are no emergency evacuation drills or protocols in place.,Unsafe Working Conditions,No access to clean water,Municipal Corporation Water Department
My employer has stopped contributing to NPS despite deducting from my salary. I work at Datatech Services in the insurance industry. I have been working as a electrician for 4.5 years. I have education loans to repay which makes this situation critical.,Social Security Concerns,Gratuity calculation disputes,Ministry of Labour and Employment - Industrial Relations Division
My colleague threatened to physically harm me if I reported irregularities. I have been working as a regional sales manager for 1.5 years. I am a person with physical disability.,Workplace Harassment,Physical intimidation,Local Police Station and Ministry of Labour
Machine guards are removed to speed up production causing accidents. I work at Delta Logistics in the hospitality industry. I have been working as a production manager for 2.5 years. This is happening in our Ludhiana branch/office/factory.,Unsafe Working Conditions,Chemical spills,Directorate General of Factory Advice Service and Labour Institutes
The construction site lacks proper scaffolding and fall protection equipment. I work at Pride Construction in the hospitality industry. I have been working as a forklift operator for 5 years. This is happening in our Gwalior branch/office/factory.,Unsafe Working Conditions,No access to clean water,Municipal Corporation Water Department
"After informing about my pregnancy, I was removed from important projects. This is happening in our Bhubaneswar branch/office/factory. Important opportunities are only shared with select groups.",Discrimination,Hiring bias,Ministry of Labour and Employment - Industrial Relations Division
I worked overtime for 55 hours but did not receive any additional payment. I work at Pride Construction in the retail industry. I have been working as a supervisor for 1.5 years. This is happening in our Bhopal branch/office/factory. I belong to a scheduled caste community.,Wage Issues,Gratuity payment problems,Ministry of Labour and Employment - Wage Division
The factory has poor ventilation with excessive dust and smoke. I work at Pride Construction in the manufacturing industry. I have been working as a production manager for 2.5 years.,Unsafe Working Conditions,Chemical spills,Directorate General of Factory Advice Service and Labour Institutes
The construction site lacks proper scaffolding and fall protection equipment. I work at CopperTech Engineering in the healthcare industry.,Unsafe Working Conditions,No proper ventilation,Ministry of Labour and Employment - Industrial Relations Division
"Workers are not provided with safety helmets, gloves or boots in our factory. I work at Arctic Cold Storage in the media industry. I have been working as a factory worker for 3 years. This is happening in our Kochi branch/office/factory. I have medical conditions that require regular treatment. Several workers have already suffered injuries due to these conditions.",Unsafe Working Conditions,Machine safety concerns,Directorate General of Factory Advice Service and Labour Institutes
The noise levels in our factory exceed safe limits and no ear protection is provided. I work at Skyrise Builders in the education industry. I have been working as a logistics coordinator for 8 years. This is happening in our Thiruvananthapuram branch/office/factory. I am a fresh graduate in my first job.,Unsafe Working Conditions,Hazardous materials exposure,Directorate General of Factory Advice Service and Labour Institutes
Managers check our bags and personal belongings without consent everyday. I work at Moonlight Entertainment in the aviation industry. I have been working as a maintenance technician for 2.5 years. The harassment has caused me significant mental distress.,Workplace Harassment,Unreasonable deadlines,Ministry of Labour and Employment - Industrial Relations Division
My home state work experience is not recognized for promotion considerations. I have been working as a call center agent for 4.5 years. This is happening in our Chennai branch/office/factory. We were recruited through agents who made false promises.,Migrant Worker Issues,Inter-state migrant documentation,Ministry of Labour and Employment - Inter-State Migrant Workers Division
"Workers are not provided with safety helmets, gloves or boots in our factory. This is happening in our Shillong branch/office/factory.",Unsafe Working Conditions,Excessive work hours,Ministry of Labour and Employment - Industrial Relations Division
I'm being paid in cash without any salary slip or documentation. I work at Goodlife Healthcare in the oil and gas industry. I have been working as a quality control inspector for 9 years. This is happening in our Gwalior branch/office/factory. I am supporting my siblings' education with my income. I have loan EMIs that I'm unable to pay due to salary delays.,Wage Issues,ESI contribution problems,Employees State Insurance Corporation
I was denied promotion because of my gender despite having better performance records. This is happening in our Surat branch/office/factory.,Discrimination,Pregnancy discrimination,National Commission for Women
Chemical spills are common and no cleanup protocols are followed. This is happening in our Hyderabad branch/office/factory. I previously worked abroad but returned to India for family reasons.,Unsafe Working Conditions,No proper ventilation,Directorate General of Factory Advice Service and Labour Institutes
I'm assigned tasks outside my job description as a form of punishment.,Workplace Harassment,Verbal abuse,Ministry of Labour and Employment - Industrial Relations Division
"I was fired without any notice or explanation after working for 12 years. I work at Volcano Cement in the real estate industry. I have been working as a accountant for 8 years. This is happening in our Shimla branch/office/factory. Legal compliance exists only on paper, not in practice.",Labor Rights Violations,No service benefits,Ministry of Labour and Employment - Industrial Relations Division
The noise levels in our factory exceed safe limits and no ear protection is provided. I work at SilverLine Railways in the telecommunications industry. I have been working as a plumber for 10 years. Mandatory safety training is rushed and inadequate.,Unsafe Working Conditions,Excessive work hours,Ministry of Labour and Employment - Industrial Relations Division
My supervisor has threatened to ruin my career if I don't comply with demands. I work at CloudNine IT Solutions in the automotive industry. I have been working as a project coordinator for 10 years. This is happening in our Coimbatore branch/office/factory.,Workplace Harassment,Mental harassment,Ministry of Labour and Employment - Industrial Relations Division
My native state ID is not accepted for opening a bank account here. This is happening in our Jaipur branch/office/factory. Our cultural and dietary needs are ignored creating difficulties.,Migrant Worker Issues,Medical care access,Ministry of Health and Family Welfare
I'm consistently assigned lower-level tasks than my peers from privileged backgrounds. This is happening in our Indore branch/office/factory. There are documented differences in how different groups are evaluated.,Discrimination,Sexual harassment,Internal Complaints Committee/Local Complaints Committee
I'm being paid in cash without any salary slip or documentation. I work at Pride Construction in the oil and gas industry.,Wage Issues,Unauthorized deductions,Ministry of Labour and Employment - Wage Division
Local police harass us migrant workers during identity checks. I work at CopperTech Engineering in the manufacturing industry. I have been working as a business analyst for 1.5 years. Our interstate worker benefits are not being provided.,Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
"As a contract worker, I don't receive any social security benefits. I work at Thunder Power Generation in the mining industry. This is happening in our Dehradun branch/office/factory.",Social Security Concerns,Accident compensation issues,Employees State Insurance Corporation
I was put on unpaid leave without my consent during system maintenance. I work at CopperTech Engineering in the banking industry. This is happening in our Chandigarh branch/office/factory.,Wage Issues,ESI contribution problems,Employees State Insurance Corporation
Machine guards are removed to speed up production causing accidents. I work at CloudNine IT Solutions in the entertainment industry. I previously worked abroad but returned to India for family reasons.,Unsafe Working Conditions,Improper lighting,Directorate General of Factory Advice Service and Labour Institutes
I'm pressured to run personal errands for my superior during work hours. I work at Alpine Adventures in the media industry. I have been working as a social media manager for 3 years. This is happening in our Chennai branch/office/factory.,Workplace Harassment,Threatening behavior,Local Police Station and Ministry of Labour
ESI contributions are being deducted but I'm unable to avail medical benefits. I work at Oceanic Marine Products in the aviation industry. I have been working as a driver for 1.5 years. This is happening in our Chandigarh branch/office/factory.,Wage Issues,Salary below industry standards,Ministry of Labour and Employment - Wage Division
I was laid off but haven't received unemployment allowance as promised. I have been working as a driver for 3 years.,Social Security Concerns,ESIC benefit denial,Employees State Insurance Corporation
My sick leave application was rejected despite having medical certificate. I work at Desert Oil Exploration in the insurance industry.,Labor Rights Violations,Apprentice exploitation,Board of Apprenticeship Training
I'm forced to work overtime without my consent or extra payment. I work at Thunder Power Generation in the telecommunications industry. This is happening in our Tiruchirappalli branch/office/factory.,Labor Rights Violations,Identity document confiscation,Ministry of Labour and Employment - Industrial Relations Division
The lighting is so poor that it's causing eye strain and accidents. I work at Oceanic Marine Products in the aviation industry. This is happening in our Itanagar branch/office/factory. Management ignores safety concerns to maintain production schedules.,Unsafe Working Conditions,Extreme temperature conditions,Ministry of Labour and Employment - Inter-State Migrant Workers Division
My boss threatened to fire me if I didn't submit a resignation letter. This is happening in our Kolkata branch/office/factory. The company operates through multiple shell contractors to avoid responsibility.,Labor Rights Violations,Termination without notice,Ministry of Labour and Employment - Industrial Relations Division
The office building has visible cracks and leakages creating unsafe conditions. I work at Global Solutions in the media industry. I have been working as a nurse for 1.5 years.,Unsafe Working Conditions,Machine safety concerns,Directorate General of Factory Advice Service and Labour Institutes
The factory has poor ventilation with excessive dust and smoke. I work at Arctic Cold Storage in the manufacturing industry. I have been working as a business analyst for 1.5 years. This is happening in our Vadodara branch/office/factory. Accident reports are either not filed or manipulated.,Unsafe Working Conditions,Radiation exposure,Atomic Energy Regulatory Board
"Despite having better qualifications, I was passed over for promotion due to my height. I work at Canyon Minerals in the textile industry. I have been working as a factory worker for 10 years.",Discrimination,Marital status discrimination,Ministry of Labour and Employment - Industrial Relations Division
A senior colleague follows me to and from work making me uncomfortable. I have been working as a accountant for 15 years. This is happening in our Kochi branch/office/factory. I've had to take medical leave due to stress from the harassment.,Workplace Harassment,Threatening behavior,Local Police Station and Ministry of Labour
I worked overtime for 18 hours but did not receive any additional payment. I work at Tropical Beverages in the insurance industry. This is happening in our Guwahati branch/office/factory. I have been working in this industry for over a decade.,Wage Issues,Commission payment delays,Ministry of Labour and Employment - Wage Division
I'm being paid in cash without any salary slip or documentation. I work at Volcano Cement in the insurance industry. I have been working as a sales executive for 2 years. This is happening in our Ludhiana branch/office/factory.,Wage Issues,Unauthorized deductions,Ministry of Labour and Employment - Wage Division
My pension payments have been delayed for the past 8 weeks. I have been working as a HR coordinator for 4 years.,Social Security Concerns,Death benefit claims,Employees Provident Fund Organisation
"After working for 7 years, I was denied gratuity payment upon resignation. I work at SilverLine Railways in the manufacturing industry. I have been working as a forklift operator for 20 years. This is happening in our Patna branch/office/factory.",Wage Issues,Delayed salary payments,Ministry of Labour and Employment - Wage Division
My employer has confiscated my passport and educational certificates. I work at Arctic Cold Storage in the retail industry. I have been working as a marketing specialist for 4 years. This is happening in our Chandigarh branch/office/factory.,Labor Rights Violations,Contract labor issues,Ministry of Labour and Employment - Industrial Relations Division
The company doesn't allow employees to use their phones during shifts. I work at Sunshine Apparels in the telecommunications industry. I have been working as a nurse for 4 years. This is happening in our Jaipur branch/office/factory. The company operates through multiple shell contractors to avoid responsibility.,Labor Rights Violations,Forced resignation,Ministry of Labour and Employment - Industrial Relations Division
I was made to sign blank papers/resignation letters when joining. I work at Sunrise Industries in the textile industry. I have been working as a team leader for 5 years. This is happening in our Guwahati branch/office/factory.,Labor Rights Violations,Denial of leave,Ministry of Labour and Employment - Industrial Relations Division
I was mocked and excluded because I don't speak the local language fluently. I have been working as a electrician for 4.5 years. This is happening in our Nagpur branch/office/factory.,Discrimination,Disability discrimination,Chief Commissioner for Persons with Disabilities
I was promised a commission of 20% but only received 7%. I work at Desert Oil Exploration in the shipping industry. This is happening in our Bhopal branch/office/factory.,Wage Issues,Illegal fine impositions,Ministry of Labour and Employment - Wage Division
I was told I'm too old for the position despite having all qualifications. I have been working as a HR coordinator for 7 years. I was directly told that people 'like me' don't get promoted here.,Discrimination,Political affiliation bias,Ministry of Labour and Employment - Industrial Relations Division
I'm being paid in cash without any salary slip or documentation. I work at Sunshine Apparels in the retail industry. I have been working as a administrative assistant for 2.5 years. This is happening in our Visakhapatnam branch/office/factory.,Wage Issues,Minimum Wages Act violations,Ministry of Labour and Employment - Wage Division
The company refuses to negotiate wages and benefits collectively. I work at Arctic Cold Storage in the education industry. I have been working as a data entry operator for 7 years. This is happening in our Nagpur branch/office/factory. I have been working in this industry for over a decade. My employment contract is different from actual working conditions.,Labor Rights Violations,Denial of statutory holidays,Ministry of Labour and Employment - Industrial Relations Division
No translator is provided during important safety briefings. This is happening in our Ahmedabad branch/office/factory.,Migrant Worker Issues,Family separation issues,Ministry of Labour and Employment - Inter-State Migrant Workers Division
"After filing a complaint, I was transferred to a remote location as punishment. I work at Alpine Adventures in the media industry. I have been working as a network administrator for 2 years. Company culture normalizes and even rewards such behavior.",Workplace Harassment,Physical intimidation,Local Police Station and Ministry of Labour
My pension payments have been delayed for the past 100 days. I work at Sunshine Apparels in the insurance industry.,Social Security Concerns,Gratuity calculation disputes,Ministry of Labour and Employment - Industrial Relations Division
"After a workplace accident, my compensation claim has been pending for months. I work at Prairie Food Processing in the textile industry.",Social Security Concerns,Death benefit claims,Employees Provident Fund Organisation
We are forced to work in unnatural positions causing severe back problems. I have been working as a procurement officer for 12 years. Safety equipment exists but workers are discouraged from using it.,Unsafe Working Conditions,No emergency protocols,Directorate General of Factory Advice Service and Labour Institutes
Local colleagues mock our cultural practices and food habits. I work at Tropical Beverages in the IT industry. This is happening in our Imphal branch/office/factory. Our cultural and dietary needs are ignored creating difficulties.,Migrant Worker Issues,Local authority harassment,Ministry of Home Affairs
My employer has confiscated my passport and educational certificates. This is happening in our Chandigarh branch/office/factory. The company exploits legal loopholes to deny statutory benefits.,Labor Rights Violations,Forced overtime,Ministry of Labour and Employment - Industrial Relations Division
My colleague threatened to physically harm me if I reported irregularities. I work at Westland Automobiles in the agriculture industry. The toxicity has led to high employee turnover in our department.,Workplace Harassment,Excessive monitoring,Ministry of Labour and Employment - Industrial Relations Division
The paternity leave application was rejected without valid reasons. I work at Mountain Mining in the media industry. I have been working as a medical representative for 4 years.,Social Security Concerns,ESIC benefit denial,Employees State Insurance Corporation
My supervisor constantly shouts and uses abusive language towards me. I have been working as a accountant for 6 years. This is happening in our Ahmedabad branch/office/factory. I have medical conditions that require regular treatment.,Workplace Harassment,Character defamation,Local Police Station
"During COVID-19 lockdown, we were abandoned without any support. I work at Rainbow Plastics in the logistics industry. I have been working as a receptionist for 9 years. This is happening in our Jaipur branch/office/factory. I recently relocated to this city for this job. Essential information is not provided in languages we understand.",Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
We work with cutting machines that lack safety guards or emergency stops. I work at IronStrength Steel in the agriculture industry. I have been working as a graphic designer for 2.5 years. I am a person with physical disability.,Unsafe Working Conditions,Chemical spills,Directorate General of Factory Advice Service and Labour Institutes
